id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-041,REVIEW,unused-export,LEVEL_NINE_MAP from src/scene/level-nine/layout.js,src/scene/level-nine/layout.js,40,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-042,REVIEW,unused-export,LEVEL_NINE_ORIGIN_X from src/scene/level-nine/layout.js,src/scene/level-nine/layout.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-043,REVIEW,unused-export,LEVEL_NINE_ORIGIN_Z from src/scene/level-nine/layout.js,src/scene/level-nine/layout.js,9,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-044,REVIEW,unused-export,LEVEL_NINE_ROADS from src/scene/level-nine/layout.js,src/scene/level-nine/layout.js,41,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-045,REVIEW,unused-export,LEVEL_ONE_EXIT_TRIGGER_RADIUS from src/scene/level-one/layout.js,src/scene/level-one/layout.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-046,REVIEW,unused-export,createLevelOneLayout from src/scene/level-one/layout.js,src/scene/level-one/layout.js,39,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-047,REVIEW,unused-export,addLevelOneElevator from src/scene/level-one/props.js,src/scene/level-one/props.js,158,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-048,REVIEW,unused-export,createLevelOneConcreteTexture from src/scene/level-one/textures.js,src/scene/level-one/textures.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-049,REVIEW,unused-export,CELL_PLATFORM from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,12,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-050,REVIEW,unused-export,CELL_ROOM from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,10,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-051,REVIEW,unused-export,CELL_WATER from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,11,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-052,REVIEW,unused-export,LEVEL_SEVEN_EXIT_TRIGGER_RADIUS from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,7,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-053,REVIEW,unused-export,LEVEL_SEVEN_MAP from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,87,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-054,REVIEW,unused-export,LEVEL_SEVEN_ORIGIN_X from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,88,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-055,REVIEW,unused-export,LEVEL_SEVEN_ORIGIN_Z from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,89,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-056,REVIEW,unused-export,countLevelSevenOpenNeighbors from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,105,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-057,REVIEW,unused-export,levelSevenCellType from src/scene/level-seven/layout.js,src/scene/level-seven/layout.js,95,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-058,REVIEW,unused-export,CELL_VOID from src/scene/level-six/layout.js,src/scene/level-six/layout.js,13,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-059,REVIEW,unused-export,LEVEL_SIX_EXIT_TRIGGER_RADIUS from src/scene/level-six/layout.js,src/scene/level-six/layout.js,9,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-060,REVIEW,unused-export,LEVEL_SIX_MAP from src/scene/level-six/layout.js,src/scene/level-six/layout.js,96,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-061,REVIEW,unused-export,countLevelSixOpenNeighbors from src/scene/level-six/layout.js,src/scene/level-six/layout.js,111,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-062,REVIEW,unused-export,levelSixCellType from src/scene/level-six/layout.js,src/scene/level-six/layout.js,106,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-063,REVIEW,unused-export,LEVEL_TEN_ORIGIN_X from src/scene/level-ten/layout.js,src/scene/level-ten/layout.js,7,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-064,REVIEW,unused-export,LEVEL_TEN_ORIGIN_Z from src/scene/level-ten/layout.js,src/scene/level-ten/layout.js,8,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-065,REVIEW,unused-export,isLevelTenRoadCell from src/scene/level-ten/layout.js,src/scene/level-ten/layout.js,14,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-066,REVIEW,unused-export,LEVEL_THREE_EXIT_TRIGGER_RADIUS from src/scene/level-three/layout.js,src/scene/level-three/layout.js,9,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-067,REVIEW,unused-export,createLevelThreeLayout from src/scene/level-three/layout.js,src/scene/level-three/layout.js,40,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-068,REVIEW,unused-export,addLevelThreeBreakerDoor from src/scene/level-three/props.js,src/scene/level-three/props.js,120,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-069,REVIEW,unused-export,LEVEL_TWO_EXIT_TRIGGER_RADIUS from src/scene/level-two/layout.js,src/scene/level-two/layout.js,7,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-070,REVIEW,unused-export,levelTwoCellMeta from src/scene/level-two/layout.js,src/scene/level-two/layout.js,217,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-071,REVIEW,unused-export,addLevelTwoServiceDoor from src/scene/level-two/props.js,src/scene/level-two/props.js,462,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-072,REVIEW,unused-export,createLevelTwoGrimyTexture from src/scene/level-two/textures.js,src/scene/level-two/textures.js,3,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-073,REVIEW,unused-export,MANILA_ROOM_ENTRANCE from src/scene/level-zero/layout.js,src/scene/level-zero/layout.js,7,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-074,REVIEW,unused-export,createLayout from src/scene/level-zero/layout.js,src/scene/level-zero/layout.js,9,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-075,REVIEW,unused-export,getExitMount from src/scene/level-zero/world.js,src/scene/level-zero/world.js,199,medium,medium,False,0,0,Not proven in a disposable copy.
CRT-076,REVIEW,commented-code,Comment block in src/scene/level-two/index.js,src/scene/level-two/index.js,381,low,medium,False,4,240,Not proven in a disposable copy.
